year,athlete_id,player,team,ppa_per_dropback,total_ppa_pass
2014,536836,Quinton McCown,New Mexico,NA,0
2014,537012,Nick Schuessler,Clemson,0.136,1.357
2014,537150,Jaylian Williamson,Hampton,0.595,29.153
2014,537200,Eli Jenkins,Jacksonville State,0.044,0.665
2014,537229,Malcolm Bell,North Carolina Central,-0.265,-1.061
2014,537987,Ryan Saeger,South Dakota,0.208,1.869
2014,538084,Brodie Lambert,Missouri State,-0.42,-0.839
2014,538156,Fredi Knighten,Arkansas State,0.241,109.786
2014,538456,Jared Johnson,Sam Houston,-0.323,-9.04
2014,539215,Steven Bench,South Florida,0.122,13.043
2014,540215,Carson Royal,Florida A&M,-0.189,-0.755
2014,545221,Parker Boehme,Duke,-1.987,-3.974
2014,545238,Mitch Trubisky,North Carolina,0.058,4.545
2014,545275,Mitch Kimble,Syracuse,-0.236,-4.711
2014,545284,Austin Wilson,Syracuse,-0.028,-1.453
2014,545334,Kolney Cassel,SMU,0.059,2.54
2014,545417,Montell Cozart,Kansas,-0.093,-12.898
2014,545472,Conor Rhoda,Minnesota,-0.268,-0.268
2014,545502,Zach Allen,TCU,0.996,1.991
2014,545550,John O'Korn,Houston,0.043,7.729
2014,545552,Greg Ward Jr.,Houston,0.273,82.788
2014,545557,Brett Nelson,Louisville,0.137,1.093
2014,545559,Kyle Bolin,Louisville,0.433,34.622
2014,545618,Johnny Stanton,Nebraska,0.224,0.224
2014,545624,J.T. Barrett,Ohio State,0.323,107.006
2014,545636,D.J. Crook,Penn State,0.651,5.855
2014,545642,Austin Whipple,Massachusetts,0.062,3.339
2014,545645,Kurt Benkert,East Carolina,-0.088,-0.876
2014,545653,Jonathon Weymann,East Carolina,0.701,0.701
2014,545682,A.J. Erdely,Middle Tennessee,-0.404,-0.404
2014,545683,Brent Stockstill,Middle Tennessee,0.399,1.198
2014,545757,Tanner Lee,Tulane,0.068,24.095
2014,545788,Billy Green,Weber State,0.184,5.704
2014,545910,Logan Woodside,Toledo,0.436,119.089
2014,545935,Cameron Thomas,Western Michigan,-0.543,-1.086
2014,546005,Jack Milas,Ball State,0.24,51.077
2014,546030,Jack Williams,Kent State,-0.842,-0.842
2014,546033,Anthony Jennings,LSU,0.094,22.912
2014,546062,Aaron Bailey,Illinois,-0.077,-1.915
2014,546145,Brandon Silvers,Troy,0.206,59.027
2014,546184,Johnny McCrary,Vanderbilt,0.164,26.972
2014,546197,Eddie Printz,Missouri,-0.111,-0.111
2014,546267,Nick Stevens,Colorado State,0.099,2.563
2014,546271,Brian Burrell,Fresno State,0.095,44.408
2014,546288,Ryan Finley,Boise State,0.171,4.962
2014,546345,Brice Ramsey,Georgia,0.576,22.454
2014,546354,Reese Phillips,Kentucky,-0.807,-7.26
2014,546362,Luke Del Rio,Oregon State,0.252,4.276
2014,546415,Max Browne,USC,-0.447,-3.574
2014,546469,Ryan Burns,Stanford,-0.643,-1.285
2014,546483,Clayton Mitchem,New Mexico,-0.308,-3.393
2014,546540,Joshua Dobbs,Tennessee,0.175,32.341
2014,546599,Darrien Boone,Austin Peay,-0.777,-6.217
2014,546603,Damian Williams,Mississippi State,0.224,3.811
2014,546675,Tim Boyle,UConn,-0.044,-2.803
2014,546706,Shane Morris,Michigan,-0.285,-11.697
2014,546734,Matt Alviti,Northwestern,-0.513,-2.565
2014,546876,Troy Williams,Washington,-0.057,-2.338
2014,546921,Daniel Kniffin,Sacramento State,0.288,2.3
2014,547096,Aaron Cantu,Southern Utah,0.176,5.635
2014,547206,Austin Allen,Arkansas,0.297,5.051
2014,547236,Mack Lowrie,Rhode Island,0.131,3.791
2014,547303,Stephon Masha,Liberty,-0.16,-0.319
2014,547338,Tyrone Swoopes,Texas,0.153,60.753
2014,547343,Karson Roberts,Air Force,NA,0
2014,547381,Heys McMath,Presbyterian,-0.033,-2.071
2014,547401,Jared Goff,California,0.363,191.833
2014,547410,Al Cobb,VMI,-0.085,-7.105
2014,547549,Chris Laviano,Rutgers,-0.349,-9.769
2014,547570,Quinn Kaehler,San Diego State,0.093,30.326
2014,547756,Jake Melville,Colgate,0.03,0.786
2014,548142,Connor Mitch,South Carolina,-0.494,-3.46
2014,548144,Perry Orth,South Carolina,-0.848,-2.543
2014,548240,Tyler Jones,Texas State,0.264,104.073
2014,548447,Taylor Lamb,App State,0.397,119.373
2014,548475,Alejandro Bennifield,Chattanooga,0.21,0.21
2014,548897,Taylor Reed,Central Arkansas,0.016,0.57
2014,549301,Favian Upshaw,Georgia Southern,0.511,13.805
2014,549332,Conor Bednarski,Stony Brook,0.475,9.024
2014,549719,Zach Adkins,Northwestern State,0.072,4.149
2014,549759,P.J. Walker,Temple,0.003,1.211
2014,549804,Mike White,South Florida,0.189,47.235
2014,549865,Kenny Hill,Texas A&M,0.372,124.011
2014,549918,Dajon Williams,North Texas,0.114,9.705
2014,549960,Josh Taylor,NC State,NA,0
2014,550019,Jeremy Johnson,Auburn,1.02,36.735
2014,550021,Nick Marshall,Auburn,0.474,145.603
2014,550114,Ryan Buchanan,Ole Miss,-0.283,-6.236
2014,550158,Jake Waters,Kansas State,0.431,183.422
2014,550170,Danny Etling,Purdue,0.03,5.121
2014,550218,Brandon Cox,Utah,0.447,1.34
2014,550226,Conner Manning,Utah,-1.271,-7.623
2014,550246,Nathan Strock,Kent State,-0.205,-9.613
2014,550268,Jordan Gehrke,Colorado,-0.149,-7.166
2014,550278,Sefo Liufau,Colorado,0.27,138.691
2014,550339,Nick Holley,Kent State,0.006,0.227
2014,550386,Davis Webb,Texas Tech,0.351,120.346
2014,550448,Jesse Ertz,Kansas State,NA,0
2014,550477,Damion Terry,Michigan State,0.168,3.183
2014,550504,Cody Thomas,Oklahoma,0.075,5.093
2014,550587,Zack Greenlee,Fresno State,-0.149,-6.42
2014,550629,Luke Falk,Washington State,0.295,76.109
2014,550720,Darell Garretson,Utah State,0.303,42.685
2014,550754,Jeremiah Briscoe,UAB,-0.293,-14.634
2014,550873,Greg Hankerson,Florida Atlantic,-0.236,-10.857
2014,550876,Jaquez Johnson,Florida Atlantic,0.274,64.405
2014,550967,Malik Zaire,Notre Dame,0.388,13.974
2014,551028,Lamar Jordan,New Mexico,0.251,29.367
2014,551184,Justin Holman,UCF,0.289,120.394
2014,551185,Pete DiNovo,UCF,-0.607,-5.467
2014,551208,Will Worth,Navy,-2.326,-2.326
2014,551222,Tago Smith,Navy,0.724,11.583
2014,551394,Parker McKenzie,Abilene Christian,0.65,50.707
2014,552097,Anu Solomon,Arizona,0.226,129.478
2014,552214,Michael Colosimo,Cincinnati,-0.144,-1.581
2014,552240,Trey Taylor,Austin Peay,-0.432,-4.319
2014,552329,Christian Hackenberg,Penn State,0.05,26.172
2014,552353,Tim DiGiorgio,Temple,-0.081,-0.081
2014,552434,David Salmon,Campbell,-0.251,-1.504
2014,552513,Jared Lebowitz,UNLV,-0.176,-11.454
2014,552746,Michael Julian,Toledo,-0.162,-3.071
2014,552782,Brogan Roback,Eastern Michigan,-0.205,-5.959
2014,552880,Nick Mullens,Southern Miss,0.193,69.702
2014,553010,Marcus Terrell,Arkansas-Pine Bluff,0.327,0.654
2014,553188,Deonte Shorts,Southern,-0.369,-3.32
2014,553235,Matt Linehan,Idaho,0.069,25.348
2014,554528,Nate Romine,Air Force,0.078,2.422
2014,554825,Barton Mann,Eastern Kentucky,-0.752,-6.013
2014,555166,Jaymason Lee,Alabama A&M,0.214,1.923
2014,557882,Stephen Johnson,Grambling,0.364,6.924
2014,559492,P.J. Blazejowski,Furman,0.169,2.702
2014,559681,Kyle Allen,Texas A&M,0.154,31.332
2014,559751,Brandon Harris,LSU,0.427,19.203
2014,3116407,Mason Rudolph,Oklahoma State,0.349,32.831
2014,3116460,Skyler Howard,West Virginia,0.234,26.408
2014,3116756,AJ Long,Syracuse,0.069,10.29
2014,3117104,Ryan Swingle,VMI,0.179,0.893
2014,3120540,Drew Belcher,Maine,-0.335,-2.343
2014,3120893,Quinn Billerman,North Carolina Central,0.041,0.853
2014,3121647,Treon Harris,Florida,0.322,37.083
2014,3122157,Wade Freebeck,Vanderbilt,-0.066,-5.073
2014,3122711,Andrew Matyk,Florida Atlantic,NA,0
2014,3122790,Darius Wade,Boston College,-0.422,-3.378
2014,3122840,Deshaun Watson,Clemson,0.67,97.198
2014,3122972,Josh Greer,North Texas,-0.172,-8.927
2014,3123048,Brad Kaaya,Miami,0.33,128.949
2014,3124037,Dalton Sturm,UTSA,2.235,6.705
2014,3124039,Blake Bogenschutz,UTSA,-0.132,-5.696
2014,3124092,John Wolford,Wake Forest,0.014,5.857
2014,3124781,Troy Jones,Western Kentucky,-0.206,-0.823
2014,3124848,Nick Arbuckle,Georgia State,0.28,115.897
2014,3124981,Tyler Rogers,New Mexico State,0.196,78.392
2014,3125097,Hunter Moore,BYU,NA,0
2014,3125255,Hunter Vaughn,South Alabama,-0.082,-5.184
2014,3125299,Mitch Ravizza,San José State,-0.173,-4.501
2014,3125318,Blake Decker,UNLV,0.121,51.986
2014,3125353,Kent Myers,Utah State,0.171,22.177
2014,3125432,Connor White,Texas State,0.393,1.966
